
---------- Begin Simulation Statistics ----------
simSeconds                                   0.017636                       # Number of seconds simulated (Second)
simTicks                                  17636254000                       # Number of ticks simulated (Tick)
finalTick                                 17636254000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     71.60                       # Real time elapsed on the host (Second)
hostTickRate                                246329026                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     678872                       # Number of bytes of host memory used (Byte)
simInsts                                     11391436                       # Number of instructions simulated (Count)
simOps                                       22709297                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   159106                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     317185                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         17636255                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.548203                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.645910                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        23051425                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        7                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       30468396                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  23892                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               342129                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            581734                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   7                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            17615262                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.729659                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.167709                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8410210     47.74%     47.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2636817     14.97%     62.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    943712      5.36%     68.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1063421      6.04%     74.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2098892     11.92%     86.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1146247      6.51%     92.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    770040      4.37%     96.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    360535      2.05%     98.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    185388      1.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              17615262                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  101725      4.05%      4.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      4.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.05% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      4.05% # attempts to use FU when none available (Count)
