
---------- Begin Simulation Statistics ----------
simSeconds                                   0.025423                       # Number of seconds simulated (Second)
simTicks                                  25423036000                       # Number of ticks simulated (Tick)
finalTick                                 25423036000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     76.70                       # Real time elapsed on the host (Second)
hostTickRate                                331455605                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     668892                       # Number of bytes of host memory used (Byte)
simInsts                                     11391436                       # Number of instructions simulated (Count)
simOps                                       22709297                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   148517                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     296074                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         25423037                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.231768                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.448075                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        23087783                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        7                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       29551943                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  20247                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               378487                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            651769                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   7                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            25402096                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.163366                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.880206                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  15609096     61.45%     61.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3467195     13.65%     75.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    934773      3.68%     78.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1058291      4.17%     82.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2289463      9.01%     91.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    940332      3.70%     95.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    681320      2.68%     98.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    280111      1.10%     99.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    141515      0.56%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              25402096                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   78533      3.81%      3.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      3.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      3.81% # attempts to use FU when none available (Count)
